"Reference","Value","Datasheet","Footprint","Qty","DNP"
"KB1","PS/2","http://service.powerdynamics.com/ec/Catalog17/Section%2011.pdf","LIBS:Connector_Mini-DIN_Female_6Pin_2rows","1",""
"L1","LED","~","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1",""
"MAX1","MAX232CSE+","http://datasheets.maximintegrated.com/en/ds/MAX220-MAX249.pdf","LIBS:SOIC127P600X175-16N","1",""
"PSR1","PSRAM","https://www.espressif.com/sites/default/files/documentation/esp-psram32_datasheet_en.pdf","Package_SO:SO-8_5.3x6.2mm_P1.27mm","1",""
"PWR1","5V","~","LIBS:Medved_Pins_1x03_P2.54mm_Vertical","1",""
"Q1,Q2","BC850","http://www.infineon.com/dgdl/Infineon-BC847SERIES_BC848SERIES_BC849SERIES_BC850SERIES-DS-v01_01-en.pdf?fileId=db3a304314dca389011541d4630a1657","LIBS:SOT-23_PLUS2","2",""
"R1,R2,R11,R35,R36,R37,R38,R55","1K","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","8",""
"R3,R4,R5,R6,R7,R8,R9,R10,R40,R41,R42,R43,R44,R45","270R","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","14",""
"R12,R13,R14,R25,R26","330R","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","5",""
"R15,R16,R17,R30,R33","1k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","5",""
"R18,R19,R20,R21,R27,R28,R29,R34","10K","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","8",""
"R22,R23,R24,R47,R48","100R","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","5",""
"R31,R32","2k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"R39","750R*","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R46","300R","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R49,R50,R51,R52,R53","150R","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","5",""
"R54","51R*","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R56,R57","5.1K","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"RP1","RP2040 Pico","","LIBS:Raspberry_Pi_Pico_SMT_THT_MOD_2","1",""
"RP2","RP 2040 Zero","","LIBS:rp2040-zero-tht","1",""
"SC1","VIDEO (Soft Composite)","~","LIBS:AV_MOD_III-8.4-5","1",""
"SD1","Micro SD","http://katalog.we-online.de/em/datasheet/693072010801.pdf","LIBS:Medved_SD_Card","1",""
"SW1","SW_Push_Dual","~","LIBS:Button_SMD_3x3x2","1",""
"TDA1","TDA1387T","DOCUMENTATION","Package_SO:SO-8_5.3x6.2mm_P1.27mm","1",""
"UART1","UART","~","LIBS:Medved_Pins_1x03_P2.54mm_Vertical","1",""
"USB1","USB Type C","","LIBS:USB-TYPE-C-31-M-12_lib2","1",""
"VGA1","VGA","~","LIBS:Medved_DSUB-15-HD_Female_Horizontal","1",""
